Date,Team.x,Opponent,W/L,Status,Pos,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,FIC,Home/Away,Team.y
2015-12-01,Cavaliers,Wizards,L,Starter,SF,37:23,24,8,20,0.4,0,3,0,8,8,1,4,9,13,4,1,1,9,3,12.3,Home,CLE
2015-11-28,Cavaliers,Nets,W,Starter,SF,35:43,26,10,22,0.455,1,6,0.167,5,6,0.833,2,7,9,5,1,0,2,0,18.5,Home,CLE
2015-11-27,Cavaliers,Hornets,W,Starter,SF,38:13,25,8,20,0.4,2,5,0.4,7,9,0.778,2,11,13,5,0,0,3,2,17.9,Away,CLE
2015-11-25,Cavaliers,Raptors,L,Starter,SF,39:46,24,6,16,0.375,1,5,0.2,11,12,0.917,2,4,6,8,0,0,2,1,18,Away,CLE
2015-11-23,Cavaliers,Magic,W,Starter,SF,34:58,15,7,14,0.5,0,2,0,1,5,0.2,0,6,6,13,1,0,2,0,19.1,Home,CLE
2015-11-21,Cavaliers,Hawks,W,Starter,SF,33:20,19,8,15,0.533,1,2,0.5,2,2,1,2,9,11,8,0,2,3,1,22.3,Home,CLE
2015-11-19,Cavaliers,Bucks,W,Starter,SF,34:59,27,9,13,0.692,1,1,1,8,9,0.889,3,6,9,6,0,0,4,3,21.9,Home,CLE
2015-11-17,Cavaliers,Pistons,L,Starter,SF,39:48,30,11,21,0.524,4,7,0.571,4,5,0.8,0,6,6,3,0,0,4,3,14.4,Away,CLE
2015-11-14,Cavaliers,Bucks,L,Starter,SF,45:03,37,13,27,0.481,5,11,0.455,6,12,0.5,4,8,12,5,1,3,7,3,22.8,Away,CLE
2015-11-13,Cavaliers,Knicks,W,Starter,SF,39:23,31,12,21,0.571,0,2,0,7,10,0.7,0,3,3,6,2,1,3,4,17.8,Away,CLE
2015-11-10,Cavaliers,Jazz,W,Starter,SF,37:51,31,11,19,0.579,1,3,0.333,8,12,0.667,3,4,7,8,2,0,5,2,22.3,Home,CLE
2015-11-08,Cavaliers,Pacers,W,Starter,SF,35:01,29,10,23,0.435,0,3,0,9,14,0.643,0,6,6,4,0,0,2,0,13,Home,CLE
2015-11-06,Cavaliers,Sixers,W,Starter,SF,36:20,31,12,22,0.545,3,5,0.6,4,6,0.667,0,4,4,13,2,0,2,1,27.8,Home,CLE
2015-11-04,Cavaliers,Knicks,W,Starter,SF,35:04,23,9,23,0.391,1,5,0.2,4,7,0.571,2,3,5,3,4,1,3,1,11.9,Home,CLE
2015-11-02,Cavaliers,Sixers,W,Starter,SF,33:20,22,9,19,0.474,0,3,0,4,4,1,0,9,9,11,4,2,3,3,25.5,Away,CLE
2015-10-30,Cavaliers,Heat,W,Starter,SF,33:56,29,13,19,0.684,0,2,0,3,5,0.6,2,3,5,4,1,0,4,3,16.6,Home,CLE
2015-10-28,Cavaliers,Grizzlies,W,Starter,SF,30:48,12,4,13,0.308,0,3,0,4,8,0.5,1,6,7,5,3,0,3,1,9.3,Away,CLE
2015-10-27,Cavaliers,Bulls,L,Starter,SF,36:04,25,12,22,0.545,1,5,0.2,0,3,0,0,10,10,5,1,0,1,3,18.4,Away,CLE
