"Player","Team(s)","GP","Win%"
"Isaiah Thomas","Cavaliers, Lakers",19,"36.8%"
"Scott Williams","Cavaliers",19,"52.6%"
"Trey Jemison","Lakers",18,"83.3%"
"Lorenzen Wright","Cavaliers",17,"82.4%"
"Derrick Rose","Cavaliers",16,"56.3%"
"Ivica Zubac","Lakers",16,"56.3%"
"Jiri Welsch","Cavaliers",16,"31.3%"
"Brendan Haywood","Cavaliers",16,"81.3%"
"Reggie Bullock","Lakers",15,"20.0%"
"Johnathan Williams","Lakers",14,"42.9%"
"Colin Castleton","Lakers",14,"57.1%"
"London Perrantes","Cavaliers",14,"57.1%"
"Eddy Curry","Heat",13,"92.3%"
"D.J. Augustin","Lakers",12,"33.3%"
"Stephen Graham","Cavaliers",12,"41.7%"
"Skylar Mays","Lakers",12,"50.0%"
"Zendon Hamilton","Cavaliers",11,"63.6%"
"Andre Drummond","Lakers",10,"50.0%"
"Isaac Bonga","Lakers",10,"40.0%"
"Matt Ryan","Lakers",9,"33.3%"
"Mike Muscala","Lakers",9,"22.2%"
"Devontae Cacok","Lakers",9,"44.4%"
"Kostas Antetokounmpo","Lakers",9,"55.6%"
"Lou Amundson","Cavaliers",9,"55.6%"
"Ben McLemore","Lakers",8,"37.5%"
"Mohamed Bamba","Lakers",8,"87.5%"
"Will Cherry","Cavaliers",8,"75.0%"
"Billy Thomas","Cavaliers",8,"62.5%"
"Armel Traore","Lakers",8,"50.0%"
"Shaquille Harrison","Lakers",8,"37.5%"
