"Player","Team(s)","GP","Win%","name"
"Andre Drummond","Cavaliers",8,"62.5%","Kevin Love"
"Sundiata Gaines","Timberwolves",8,"37.5%","Kevin Love"
"Will Cherry","Cavaliers",8,"75.0%","Kevin Love"
"Tacko Fall","Cavaliers",7,"28.6%","Kevin Love"
"R.J. Hampton","Heat",7,"42.9%","Kevin Love"
"Patty Mills","Heat",6,"33.3%","Kevin Love"
"Jeremiah Martin","Cavaliers",5,"0.0%","Kevin Love"
"Deng Adel","Cavaliers",5,"40.0%","Kevin Love"
"Alondes Williams","Heat",5,"80.0%","Kevin Love"
"JaVale McGee","Cavaliers",4,"50.0%","Kevin Love"
"Sam Dekker","Cavaliers",4,"0.0%","Kevin Love"
"Maurice Ager","Timberwolves",4,"25.0%","Kevin Love"
"Alando Tucker","Timberwolves",4,"0.0%","Kevin Love"
"Alex Kirk","Cavaliers",4,"50.0%","Kevin Love"
"Larry Sanders","Cavaliers",4,"25.0%","Kevin Love"
"Matt Mooney","Cavaliers",4,"0.0%","Kevin Love"
"London Perrantes","Cavaliers",4,"75.0%","Kevin Love"
"Davion Mitchell","Heat",3,"0.0%","Kevin Love"
"Udonis Haslem","Heat",3,"66.7%","Kevin Love"
"Justin Anderson","Cavaliers",3,"33.3%","Kevin Love"
"Kyle Anderson","Heat",3,"33.3%","Kevin Love"
"Isaiah Mobley","Cavaliers",3,"66.7%","Kevin Love"
"Quinn Cook","Cavaliers",2,"0.0%","Kevin Love"
"Malik Newman","Cavaliers",2,"0.0%","Kevin Love"
"Tre Scott","Cavaliers",2,"50.0%","Kevin Love"
"Luke Kornet","Cavaliers",2,"50.0%","Kevin Love"
"Marques Bolden","Cavaliers",2,"50.0%","Kevin Love"
"Tim Frazier","Cavaliers",2,"0.0%","Kevin Love"
"Othyus Jeffers","Timberwolves",2,"50.0%","Kevin Love"
"Andrew Wiggins","Heat",1,"0.0%","Kevin Love"
"Thon Maker","Cavaliers",1,"100.0%","Kevin Love"
"Calvin Booth","Timberwolves",1,"0.0%","Kevin Love"
"Keshad Johnson","Heat",1,"100.0%","Kevin Love"
