,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
49,49,2011-02-03,@,ORL,W,104,100,,36,72,.500,7,16,.438,29,56,.518,.549,25,36,.694,9,35,44,19,6,6,11,27,36,85,.424,12,33,.364,24,52,.462,.494,16,31,.516,17,27,44,20,4,0,10,26
50,50,2011-02-04,@,CHA,W,109,97,,43,78,.551,9,19,.474,34,59,.576,.609,14,19,.737,9,27,36,24,12,3,12,25,35,74,.473,9,20,.450,26,54,.481,.534,18,23,.783,11,22,33,22,4,5,16,22
51,51,2011-02-06,,LAC,W,97,79,,34,77,.442,10,28,.357,24,49,.490,.506,19,28,.679,10,34,44,19,9,7,16,24,25,77,.325,6,24,.250,19,53,.358,.364,23,33,.697,11,33,44,12,8,2,20,21
52,52,2011-02-08,,IND,W,117,112,,44,83,.530,8,24,.333,36,59,.610,.578,21,28,.750,10,26,36,20,10,3,12,14,44,86,.512,7,22,.318,37,64,.578,.552,17,20,.850,11,26,37,18,8,2,15,24
53,53,2011-02-11,@,DET,W,106,92,,38,75,.507,6,14,.429,32,61,.525,.547,24,29,.828,11,33,44,29,9,3,17,17,34,80,.425,8,24,.333,26,56,.464,.475,16,19,.842,12,23,35,20,10,5,16,21
54,54,2011-02-13,@,BOS,L,82,85,,31,74,.419,3,16,.188,28,58,.483,.439,17,23,.739,9,32,41,17,3,3,17,21,30,71,.423,4,15,.267,26,56,.464,.451,21,28,.750,9,31,40,19,6,1,15,22
55,55,2011-02-15,@,IND,W,110,103,,43,88,.489,4,16,.250,39,72,.542,.511,20,26,.769,10,40,50,15,6,8,13,21,36,86,.419,8,18,.444,28,68,.412,.465,23,29,.793,11,34,45,19,8,2,12,19
56,56,2011-02-16,@,TOR,W,103,95,,36,73,.493,2,11,.182,34,62,.548,.507,29,37,.784,10,39,49,22,5,6,17,14,36,87,.414,6,14,.429,30,73,.411,.448,17,20,.850,11,30,41,26,9,7,12,24
57,57,2011-02-22,,SAC,W,117,97,,51,90,.567,7,18,.389,44,72,.611,.606,8,11,.727,8,35,43,20,9,4,9,19,40,84,.476,4,14,.286,36,70,.514,.500,13,20,.650,9,25,34,18,3,1,12,14
58,58,2011-02-24,@,CHI,L,89,93,,32,79,.405,2,12,.167,30,67,.448,.418,23,27,.852,6,33,39,12,8,5,12,23,34,82,.415,4,21,.190,30,61,.492,.439,21,25,.840,13,40,53,17,7,3,14,27
59,59,2011-02-25,,WAS,W,121,113,,41,78,.526,5,13,.385,36,65,.554,.558,34,45,.756,5,29,34,14,5,6,8,17,43,91,.473,10,23,.435,33,68,.485,.527,17,23,.739,14,31,45,21,3,2,12,29
60,60,2011-02-27,,NYK,L,86,91,,32,74,.432,6,22,.273,26,52,.500,.473,16,22,.727,6,36,42,20,9,3,20,18,31,80,.388,8,30,.267,23,50,.460,.438,21,23,.913,8,35,43,17,6,5,16,20
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
61,61,2011-03-03,,ORL,L,96,99,,35,75,.467,3,17,.176,32,58,.552,.487,23,30,.767,8,27,35,13,10,5,12,19,34,71,.479,16,29,.552,18,42,.429,.592,15,18,.833,8,29,37,25,3,8,16,24
62,62,2011-03-04,@,SAS,L,95,125,,37,78,.474,7,20,.350,30,58,.517,.519,14,20,.700,6,34,40,23,3,2,14,22,46,82,.561,17,28,.607,29,54,.537,.665,16,23,.696,5,35,40,29,7,1,8,18
63,63,2011-03-06,,CHI,L,86,87,,33,68,.485,3,9,.333,30,59,.508,.507,17,23,.739,8,22,30,18,8,4,16,23,34,74,.459,3,14,.214,31,60,.517,.480,16,20,.800,10,26,36,16,7,5,16,17
64,64,2011-03-08,,POR,L,96,105,,37,72,.514,7,22,.318,30,50,.600,.563,15,19,.789,6,25,31,20,6,2,14,21,40,79,.506,7,17,.412,33,62,.532,.551,18,19,.947,12,22,34,21,8,3,10,16
65,65,2011-03-10,,LAL,W,94,88,,37,81,.457,8,19,.421,29,62,.468,.506,12,18,.667,18,28,46,17,8,3,15,19,30,75,.400,7,16,.438,23,59,.390,.447,21,26,.808,13,24,37,18,9,2,11,19
