,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
71,71,2022-03-19,@,WAS,L,119,127,,48,91,.527,13,35,.371,35,56,.625,.599,10,11,.909,9,32,41,25,3,1,15,23,44,85,.518,13,31,.419,31,54,.574,.594,26,31,.839,7,29,36,30,10,1,8,13
72,72,2022-03-21,@,CLE,W,131,120,,53,94,.564,12,32,.375,41,62,.661,.628,13,16,.813,9,32,41,34,7,3,8,19,45,86,.523,14,39,.359,31,47,.660,.605,16,19,.842,8,30,38,29,3,2,12,19
73,73,2022-03-23,,PHI,L,121,126,,50,97,.515,11,30,.367,39,67,.582,.572,10,16,.625,11,34,45,25,6,3,12,19,47,91,.516,10,27,.370,37,64,.578,.571,22,28,.786,8,35,43,26,7,5,7,13
74,74,2022-03-27,@,NOP,L,108,116,,42,80,.525,14,35,.400,28,45,.622,.613,10,16,.625,7,32,39,26,5,2,15,20,44,91,.484,9,27,.333,35,64,.547,.533,19,24,.792,12,29,41,25,10,1,7,13
75,75,2022-03-29,@,DAL,L,110,128,,40,89,.449,12,44,.273,28,45,.622,.517,18,22,.818,14,34,48,20,7,2,9,22,45,87,.517,20,46,.435,25,41,.610,.632,18,23,.783,11,35,46,27,5,1,8,14
76,76,2022-03-31,@,UTA,L,109,122,,41,83,.494,7,25,.280,34,58,.586,.536,20,28,.714,9,31,40,18,5,3,11,21,46,90,.511,15,44,.341,31,46,.674,.594,15,24,.625,9,32,41,25,7,2,8,20
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
77,77,2022-04-01,,NOP,L,111,114,,39,82,.476,11,27,.407,28,55,.509,.543,22,31,.710,7,33,40,24,10,1,17,24,41,79,.519,7,26,.269,34,53,.642,.563,25,29,.862,4,33,37,23,8,4,15,21
78,78,2022-04-03,,DEN,L,118,129,,49,92,.533,6,20,.300,43,72,.597,.565,14,21,.667,6,34,40,31,4,5,13,25,47,82,.573,12,31,.387,35,51,.686,.646,23,29,.793,6,32,38,33,10,5,12,18
79,79,2022-04-05,@,PHO,L,110,121,,39,86,.453,9,29,.310,30,57,.526,.506,23,30,.767,7,39,46,22,7,3,16,14,50,102,.490,14,39,.359,36,63,.571,.559,7,9,.778,11,42,53,38,10,4,14,22
80,80,2022-04-07,@,GSW,L,112,128,,37,83,.446,9,32,.281,28,51,.549,.500,29,38,.763,8,34,42,14,8,4,19,13,51,97,.526,16,32,.500,35,65,.538,.608,10,10,1.000,9,36,45,39,10,5,15,26
81,81,2022-04-08,,OKC,W,120,101,,41,82,.500,9,31,.290,32,51,.627,.555,29,39,.744,7,38,45,23,8,4,10,17,40,88,.455,6,29,.207,34,59,.576,.489,15,19,.789,9,35,44,21,5,3,14,26
82,82,2022-04-10,@,DEN,W,146,141,OT,44,94,.468,16,43,.372,28,51,.549,.553,42,47,.894,13,37,50,26,4,6,13,24,49,100,.490,15,47,.319,34,53,.642,.565,28,36,.778,11,34,45,33,10,7,14,34
,,,,,33-49,9192,9442,,3415,7279,.469,982,2826,.347,2433,4453,.546,.537,1380,1884,.732,782,2826,3608,1968,626,425,1191,1654,3491,7424,.470,1032,2935,.352,2459,4489,.548,.540,1428,1911,.747,902,2920,3822,2154,684,338,1152,1647
