"Player","Season(s)","Team(s)","GP","PTS","REB","AST","Win%"
"Shannon Brown","2: 2006-07 to 2007-08","Cavaliers",33,3.5,0.8,0.4,"54.5%"
"David Wesley","1: 2006-07","Cavaliers",32,1.7,0.8,0.9,"53.1%"
"Antawn Jamison","1: 2009-10","Cavaliers",31,15.1,7.9,1.4,"71.0%"
"Kedrick Brown","1: 2003-04","Cavaliers",31,5,2.3,1.1,"35.5%"
"J.R. Bremer","1: 2003-04","Cavaliers",31,3.5,1.1,1.3,"25.8%"
"Kendrick Nunn","1: 2022-23","Lakers",30,5.4,1.4,0.8,"46.7%"
"Spencer Dinwiddie","1: 2023-24","Lakers",29,5.6,1.6,1.9,"62.1%"
"Terrel Harris","2: 2011-12 to 2012-13","Heat",29,2.7,1.4,0.7,"65.5%"
"Wayne Ellington","1: 2021-22","Lakers",28,6.1,1.5,0.8,"32.1%"
"Derrick Williams","1: 2016-17","Cavaliers",28,5.3,1.5,0.5,"60.7%"
"Christian Koloko","1: 2024-25","Lakers",28,2.1,1.9,0.4,"64.3%"
"Moe Wagner","1: 2018-19","Lakers",25,4.2,1.4,0.7,"36.0%"
"Roger Mason","1: 2013-14","Heat",25,3,0.9,0.8,"72.0%"
"Dahntay Jones","2: 2015-16 to 2016-17","Cavaliers",25,1.3,0.6,0.1,"76.0%"
"Scot Pollard","1: 2006-07","Cavaliers",25,0.7,0.9,0,"44.0%"
"Ronny Turiaf","1: 2011-12","Heat",24,2.6,3.5,0.2,"62.5%"
"Greg Oden","1: 2013-14","Heat",24,2.5,1.9,0.1,"66.7%"
"John Holland","1: 2017-18","Cavaliers",24,2.3,1,0.2,"70.8%"
"Luka Doncic","1: 2024-25","Lakers",23,27.7,7.6,7.3,"65.2%"
"Malik Beasley","1: 2022-23","Lakers",23,7.1,1.7,0.8,"69.6%"
"Juan Toscano-Anderson","1: 2022-23","Lakers",23,2.7,2,0.8,"43.5%"
"Kendrick Perkins","2: 2014-15 to 2017-18","Cavaliers",23,2.2,1.7,0.3,"78.3%"
"Alfonzo McKinnie","1: 2020-21","Lakers",23,1.7,1,0.1,"65.2%"
"Ricky Davis","1: 2003-04","Cavaliers",22,15.3,5.5,5,"27.3%"
"Lee Nailon","1: 2003-04","Cavaliers",22,7.7,3,0.8,"50.0%"
"Chris Mihm","1: 2003-04","Cavaliers",22,6.9,6.4,0.5,"27.3%"
"Kent Bazemore","1: 2021-22","Lakers",22,4,1.8,0.8,"50.0%"
"Svi Mykhailiuk","1: 2018-19","Lakers",22,3.5,0.9,0.9,"50.0%"
"Shake Milton","1: 2024-25","Lakers",22,3.4,1.6,1,"72.7%"
"Damian Jones","2: 2020-21 to 2022-23","Lakers",22,3.2,2.4,0.2,"45.5%"
"Sasha Kaun","1: 2015-16","Cavaliers",22,0.7,0.7,0.1,"81.8%"
"Mike Dunleavy","1: 2016-17","Cavaliers",21,4.2,1.8,0.9,"90.5%"
"DeAndre Jordan","1: 2021-22","Lakers",21,4.1,5,0.6,"52.4%"
"Jalen Hood-Schifino","2: 2023-24 to 2024-25","Lakers",21,1.6,0.6,0.4,"57.1%"
"Bronny James","1: 2024-25","Lakers",21,1.6,0.5,0.5,"66.7%"
"Jordan Goodwin","1: 2024-25","Lakers",20,4,3.3,1,"65.0%"
"Trevor Ariza","1: 2021-22","Lakers",20,3.8,3.5,1.1,"40.0%"
"Leon Powe","1: 2009-10","Cavaliers",20,3.5,2.6,0,"80.0%"
"Jamaal Magloire","1: 2010-11","Heat",20,1.6,2.4,0.3,"75.0%"
"Isaiah Thomas","2: 2017-18 to 2021-22","Cavaliers, Lakers",19,13.6,2.1,3.9,"36.8%"
